subject	set_name	measure	direct_contrast_nps	paired_condition_nps	contrast	difference_direct_minus_paired	same_sign
sub-11	main	signature_dot	-0.343113899230957	-0.3304141908884048	down_minus_passive	-0.012699708342552185	True
sub-12	main	signature_dot	0.1479905545711517	0.1067371666431427	down_minus_passive	0.041253387928009005	True
sub-13	main	signature_dot	0.6123356223106384	0.3457643389701843	down_minus_passive	0.2665712833404541	True
sub-14	main	signature_dot	-0.9312893748283386	-1.0593658089637756	down_minus_passive	0.128076434135437	True
sub-15	main	signature_dot	-0.4102884829044342	-0.359508752822876	down_minus_passive	-0.05077973008155823	True
sub-16	main	signature_dot	-0.8810388445854187	-1.0544306039810185	down_minus_passive	0.1733917593955998	True
sub-17	main	signature_dot	-0.1971965432167053	-0.0028243064880368	down_minus_passive	-0.1943722367286685	True
sub-18	main	signature_dot	-0.002565711736679	0.338840126991272	down_minus_passive	-0.341405838727951	False
sub-19	main	signature_dot	-1.3655141592025757	-1.7608433365821836	down_minus_passive	0.39532917737960793	True
sub-20	main	signature_dot	-0.2452896237373352	-1.1365392804145813	down_minus_passive	0.8912496566772461	True
sub-21	main	signature_dot	0.2426739633083343	0.6414476633071902	down_minus_passive	-0.39877369999885587	True
sub-22	main	signature_dot	-0.4727538824081421	-0.6873681545257568	down_minus_passive	0.21461427211761475	True
sub-23	main	signature_dot	-0.564641535282135	-0.2507170438766479	down_minus_passive	-0.3139244914054871	True
sub-24	main	signature_dot	-0.6889026761054993	-0.1886959671974182	down_minus_passive	-0.500206708908081	True
sub-25	main	signature_dot	-1.2476637363433838	-1.1196695566177368	down_minus_passive	-0.12799417972564697	True
sub-26	main	signature_dot	-0.5223835706710815	-0.5902753137052058	down_minus_passive	0.06789174303412426	True
sub-27	main	signature_dot	-0.6225041151046753	-0.5230886936187744	down_minus_passive	-0.09941542148590088	True
sub-28	main	signature_dot	0.0429416298866272	-0.1221470832824707	down_minus_passive	0.1650887131690979	False
sub-29	main	signature_dot	0.3349474370479584	0.2917332947254181	down_minus_passive	0.04321414232254028	True
sub-30	main	signature_dot	-1.372913479804993	-0.8817312717437742	down_minus_passive	-0.4911822080612187	True
sub-31	main	signature_dot	-1.197611689567566	-1.4761932119727137	down_minus_passive	0.2785815224051478	True
sub-32	main	signature_dot	-0.0382876023650169	0.017754554748535	down_minus_passive	-0.0560421571135519	False
sub-33	main	signature_dot	0.6278297305107117	1.0898762941360474	down_minus_passive	-0.4620465636253357	True
sub-01	main	signature_weighted_mean	-0.013162567044595	-0.0142619024918431	regulation_mean_minus_passive	0.0010993354472480996	True
sub-02	main	signature_weighted_mean	-0.0175555825180359	-0.0115929854515724	regulation_mean_minus_passive	-0.0059625970664635	True
sub-03	main	signature_weighted_mean	-0.0032377572199149	-0.0045831870218756	regulation_mean_minus_passive	0.0013454298019607	True
sub-04	main	signature_weighted_mean	-0.0077429759556677	-0.007533663792908	regulation_mean_minus_passive	-0.00020931216275970038	True
sub-05	main	signature_weighted_mean	0.0038390307031148	1.183216620315175e-05	regulation_mean_minus_passive	0.0038271985369116484	True
sub-06	main	signature_weighted_mean	0.6021108246992485	-0.0358934978294987	regulation_mean_minus_passive	0.6380043225287472	False
sub-07	main	signature_weighted_mean	-0.0089526004879347	-0.0048407501399557	regulation_mean_minus_passive	-0.004111850347978999	True
sub-08	main	signature_weighted_mean	-0.0063100712238363	-0.0051453271015706	regulation_mean_minus_passive	-0.0011647441222656998	True
sub-09	main	signature_weighted_mean	-0.0059901616669459	-0.0078818420133108	regulation_mean_minus_passive	0.0018916803463649	True
sub-10	main	signature_weighted_mean	-0.0037882946173434	-0.0060804843710163	regulation_mean_minus_passive	0.0022921897536728997	True
sub-11	main	signature_weighted_mean	-0.0032721577569385	-0.0004033289654507	regulation_mean_minus_passive	-0.0028688287914878	True
sub-12	main	signature_weighted_mean	0.0018670944126217	0.0013803228664861	regulation_mean_minus_passive	0.00048677154613560006	True
sub-13	main	signature_weighted_mean	-0.0005957449339049	-0.0013895103741466	regulation_mean_minus_passive	0.0007937654402417001	True
sub-14	main	signature_weighted_mean	-0.0054341872900663	-0.0054884174125998	regulation_mean_minus_passive	5.423012253349957e-05	True
sub-15	main	signature_weighted_mean	-0.0082389700073623	-0.0036729178926265	regulation_mean_minus_passive	-0.0045660521147358	True
sub-16	main	signature_weighted_mean	-0.0075484701012934	-0.0103827648363781	regulation_mean_minus_passive	0.0028342947350847	True
sub-17	main	signature_weighted_mean	-0.004015401893032	-0.00437824284454	regulation_mean_minus_passive	0.0003628409515079997	True
sub-18	main	signature_weighted_mean	-0.0066241650568954	-0.003043068225853	regulation_mean_minus_passive	-0.0035810968310424005	True
sub-19	main	signature_weighted_mean	-0.0146442444641161	-0.0131762178230536	regulation_mean_minus_passive	-0.0014680266410625007	True
sub-20	main	signature_weighted_mean	-0.0029751307529155	-0.0083096139644677	regulation_mean_minus_passive	0.0053344832115522	True
sub-21	main	signature_weighted_mean	0.0014292668680895	0.0015394442474873	regulation_mean_minus_passive	-0.0001101773793978	True
sub-22	main	signature_weighted_mean	0.0010690470833841	-0.0004223942703708	regulation_mean_minus_passive	0.0014914413537549	False
sub-23	main	signature_weighted_mean	0.0025628091653618	0.0032776698460347	regulation_mean_minus_passive	-0.0007148606806729003	True
sub-24	main	signature_weighted_mean	-0.0050169349940302	-0.001907971957968	regulation_mean_minus_passive	-0.0031089630360622003	True
sub-25	main	signature_weighted_mean	-0.0115149580365801	-0.0120025585055425	regulation_mean_minus_passive	0.00048760046896239966	True
sub-26	main	signature_weighted_mean	-0.0012632648043756	-0.0047943342770653	regulation_mean_minus_passive	0.0035310694726897003	True
sub-27	main	signature_weighted_mean	-0.0050758676195715	-0.0043731852486999	regulation_mean_minus_passive	-0.0007026823708716004	True
sub-28	main	signature_weighted_mean	-0.0127738250913374	-0.0143865940910016	regulation_mean_minus_passive	0.0016127689996641992	True
sub-29	main	signature_weighted_mean	0.0019326130353749	0.0019852460392018	regulation_mean_minus_passive	-5.263300382690023e-05	True
sub-30	main	signature_weighted_mean	-0.0113086078706132	-0.0114241303400029	regulation_mean_minus_passive	0.00011552246938970057	True
sub-31	main	signature_weighted_mean	-0.0090027967431087	-0.0106673563599697	regulation_mean_minus_passive	0.0016645596168609993	True
